severity,issue_type,track_id,title,artist,details,suggested_fix
medium,missing_bpm,552d7357c391b93972a2233c1ffccb8ddfba8b7230f15d443128016bd7ecde39,Closer,The Chainsmokers;Halsey,BPM not analyzed.,Run Essentia/librosa analysis pipeline
medium,embedding_missing,552d7357c391b93972a2233c1ffccb8ddfba8b7230f15d443128016bd7ecde39,Closer,The Chainsmokers;Halsey,BPM not analyzed.,Generate embedding when library grows
medium,missing_bpm,28d664983df5d1d95499be0569cd5f46a47d311569150682c7b91589dbdb48c7,Roses,The Chainsmokers;ROZES,BPM not analyzed.,Run Essentia/librosa analysis pipeline
medium,embedding_missing,28d664983df5d1d95499be0569cd5f46a47d311569150682c7b91589dbdb48c7,Roses,The Chainsmokers;ROZES,BPM not analyzed.,Generate embedding when library grows
medium,missing_bpm,578cbaa88bcaf624264653d2e4c9eae1c0ebda8b073a2b2d7d3389a14e3087c3,I Feel It Coming,The Weeknd、Daft Punk,BPM not analyzed.,Run Essentia/librosa analysis pipeline
medium,embedding_missing,578cbaa88bcaf624264653d2e4c9eae1c0ebda8b073a2b2d7d3389a14e3087c3,I Feel It Coming,The Weeknd、Daft Punk,BPM not analyzed.,Generate embedding when library grows
medium,missing_bpm,a0f0153a2da716910d1cb9074723220b7f54d7ab3f69ce54dcf2cfcb38159852,Starboy (Explicit),The Weeknd;Daft Punk,BPM not analyzed.,Run Essentia/librosa analysis pipeline
medium,embedding_missing,a0f0153a2da716910d1cb9074723220b7f54d7ab3f69ce54dcf2cfcb38159852,Starboy (Explicit),The Weeknd;Daft Punk,BPM not analyzed.,Generate embedding when library grows
medium,missing_bpm,d45de23b906ecf890c417097ae59db46801b65cc8cb6743b41cb8bed8d65e010,10:35,Tiësto;Tate McRae,BPM not analyzed.,Run Essentia/librosa analysis pipeline
medium,embedding_missing,d45de23b906ecf890c417097ae59db46801b65cc8cb6743b41cb8bed8d65e010,10:35,Tiësto;Tate McRae,BPM not analyzed.,Generate embedding when library grows
medium,missing_bpm,d8fb2b4487758101c6e070f2d3f3669776c68560ee494e7f481a947991fd006b,Breaking Me,Topic;A7S,BPM not analyzed.,Run Essentia/librosa analysis pipeline
medium,embedding_missing,d8fb2b4487758101c6e070f2d3f3669776c68560ee494e7f481a947991fd006b,Breaking Me,Topic;A7S,BPM not analyzed.,Generate embedding when library grows
medium,missing_bpm,3e42e8dd25a11ee4ef94eeda59ef50d08681d03c8e0961a67e4f18516acc3b35,Angel Baby,Troye Sivan,BPM not analyzed.,Run Essentia/librosa analysis pipeline
medium,embedding_missing,3e42e8dd25a11ee4ef94eeda59ef50d08681d03c8e0961a67e4f18516acc3b35,Angel Baby,Troye Sivan,BPM not analyzed.,Generate embedding when library grows
medium,missing_bpm,6cba6b47e5b95a8baab07c9a502bc5351a90f97ced1d061622b5ee4e0691c838,Bloom,Troye Sivan,BPM not analyzed.,Run Essentia/librosa analysis pipeline
medium,embedding_missing,6cba6b47e5b95a8baab07c9a502bc5351a90f97ced1d061622b5ee4e0691c838,Bloom,Troye Sivan,BPM not analyzed.,Generate embedding when library grows
medium,missing_bpm,a446eeeffbd866ece8567991de9ebc5693159905bdd346bdf99b679a0478f9e5,Got Me Started,Troye Sivan,BPM not analyzed.,Run Essentia/librosa analysis pipeline
medium,embedding_missing,a446eeeffbd866ece8567991de9ebc5693159905bdd346bdf99b679a0478f9e5,Got Me Started,Troye Sivan,BPM not analyzed.,Generate embedding when library grows
medium,missing_bpm,d349684d87ab5b9a5227334d2d1b0bdfd7cc77a3582f9f15da3b9fc9d25bb9a3,One Of Your Girls,Troye Sivan,BPM not analyzed.,Run Essentia/librosa analysis pipeline
medium,embedding_missing,d349684d87ab5b9a5227334d2d1b0bdfd7cc77a3582f9f15da3b9fc9d25bb9a3,One Of Your Girls,Troye Sivan,BPM not analyzed.,Generate embedding when library grows
medium,missing_bpm,78f3b2ee5468f628a0c6dca664bf9da3fcd01ce8db3ade46824de916987fd78c,Rush,Troye Sivan,BPM not analyzed.,Run Essentia/librosa analysis pipeline
medium,embedding_missing,78f3b2ee5468f628a0c6dca664bf9da3fcd01ce8db3ade46824de916987fd78c,Rush,Troye Sivan,BPM not analyzed.,Generate embedding when library grows
medium,missing_bpm,4387d07c7c88af90599126e29b437d3d63b6c6f8d409c6f07aa0cf498659bd26,Water,Tyla,BPM not analyzed.,Run Essentia/librosa analysis pipeline
medium,embedding_missing,4387d07c7c88af90599126e29b437d3d63b6c6f8d409c6f07aa0cf498659bd26,Water,Tyla,BPM not analyzed.,Generate embedding when library grows
medium,missing_bpm,d225846814eb0c5fe2682ddc68ffe6c1f93228dbc82cfc371359f058543d953c,bad,wave to earth,BPM not analyzed.,Run Essentia/librosa analysis pipeline
medium,embedding_missing,d225846814eb0c5fe2682ddc68ffe6c1f93228dbc82cfc371359f058543d953c,bad,wave to earth,BPM not analyzed.,Generate embedding when library grows
high,partial_tags,d04349e2e7e474e4ad81466a3ce8b898c62cc85c0b21f21e02e1f39c50ecbb00,seasons,wave to earth,Tagging status is partial. BPM not analyzed. Average tag confidence below threshold.,Re-run LLM batch or manual review
medium,missing_bpm,d04349e2e7e474e4ad81466a3ce8b898c62cc85c0b21f21e02e1f39c50ecbb00,seasons,wave to earth,Tagging status is partial. BPM not analyzed. Average tag confidence below threshold.,Run Essentia/librosa analysis pipeline
medium,low_confidence_tags,d04349e2e7e474e4ad81466a3ce8b898c62cc85c0b21f21e02e1f39c50ecbb00,seasons,wave to earth,Tagging status is partial. BPM not analyzed. Average tag confidence below threshold.,Review tags and increase confidence sources
medium,embedding_missing,d04349e2e7e474e4ad81466a3ce8b898c62cc85c0b21f21e02e1f39c50ecbb00,seasons,wave to earth,Tagging status is partial. BPM not analyzed. Average tag confidence below threshold.,Generate embedding when library grows
medium,missing_bpm,58d3b0c86253afbdb5c9e0edf385ebc9485e40cf5e5d78178f311fbcc8625da4,Chaise Longue,Wet Leg,BPM not analyzed.,Run Essentia/librosa analysis pipeline
medium,embedding_missing,58d3b0c86253afbdb5c9e0edf385ebc9485e40cf5e5d78178f311fbcc8625da4,Chaise Longue,Wet Leg,BPM not analyzed.,Generate embedding when library grows
medium,missing_bpm,6192f8ac566c4f86a1e9fb9a0aacea56c8d0b3a4f36ef9b095c6ae2bf0b10a5f,Ur Mum (Explicit),Wet Leg,BPM not analyzed.,Run Essentia/librosa analysis pipeline
medium,embedding_missing,6192f8ac566c4f86a1e9fb9a0aacea56c8d0b3a4f36ef9b095c6ae2bf0b10a5f,Ur Mum (Explicit),Wet Leg,BPM not analyzed.,Generate embedding when library grows
